""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"C3"	1.89125031474122	1.95902937097409	2.12880845121175	1.85826481193223	1.81524822533599	1.80783685943047	1.99155013248719
"Gpr108"	1.57124576242455	1.59682267078137	1.70783985313878	1.69187604284716	1.66975296344063	1.6556622390528	1.66243052845618
"Trip10"	1.62617982918733	1.61195104604917	1.67640461960612	1.93412812512105	1.89655733032382	1.90844565122958	1.75336782882703
"Efna5"	1.23344605896573	1.24305602991691	1.47594282689968	1.32182135060155	1.31486711785508	1.25911263230242	1.29317501884712
"Fer"	1.53750562462984	1.48521663694249	1.5535840496689	1.32962283070219	1.41513069103536	1.50550232265732	1.53028835434516
"Pja2"	1.69509201761866	1.71325140330845	1.62847552492122	1.50594887750985	1.55350396142865	1.57192739714188	1.62895718529933
"Man2a1"	1.79300015841465	1.79861025462938	1.71886273712096	1.36023531145801	1.38430917383719	1.41935131548316	1.67706492841528
"Vapa"	1.9411295675127	1.94694137691004	2.03551515659306	2.04682114288865	2.06030040276827	2.03351564400364	2.00893837708678
"Rab31"	1.82792895441722	1.85763863572513	1.72673485590398	1.82356903511059	1.78468610823891	1.7625305440932	1.85813588910381
"Ppp4r1"	1.75754275590284	1.74434331141771	1.79418188199865	1.80885915283754	1.80116644573651	1.74938740717811	1.81792031220246
"Ralbp1"	1.59672005738141	1.604515493573	1.62108458119169	1.55529734080347	1.57447144339397	1.55595087602503	1.60525372362053
"Twsg1"	1.77038886520065	1.81625732762585	1.66464676967938	1.69527973317429	1.74564401926781	1.73572702887624	1.77182262640968
"Ankrd12"	1.31607337190172	1.2511777559365	1.52457222113032	1.67831150681213	1.72701369509543	1.62949542077476	1.54110366775484
"Ndufv2"	1.68748906595048	1.68915160437835	1.5909385721851	1.64424098309315	1.63126090863329	1.68222599567613	1.68424294312224
"Wash1"	1.38218443134937	1.37956005651804	1.62435269233712	1.74746989033995	1.70864334425427	1.67397381697129	1.60331766793541
"Rab12"	1.31637423217445	1.29065404753764	1.27794380656621	1.35992196263411	1.39768064109326	1.37884966481232	1.2737461546047
"Ptprm"	1.40033885315181	1.39068084824253	1.5512159118538	1.3798922219884	1.4320403320352	1.46187816929424	1.55493424074936
"Epb4.1l3"	1.81084723674638	1.79258084867513	1.71016958335819	1.72906558374705	1.7455987662313	1.80139572059947	1.77983961872595
"Tgif1"	1.62031916163316	1.57272286386433	1.83491491302327	1.79257971309954	1.7947592009876	1.84210893638453	1.77436163437297
"Myl12b"	1.69963074119461	1.72323432993163	1.69783388207596	1.73037362758783	1.71767394915854	1.73708520385633	1.68524169042336
"Myl12a"	1.93088449195304	1.93782760585182	1.9683523520387	1.96822499012879	1.95705677929731	1.96884517531788	1.94075812941136
"Lpin2"	1.37072149592901	1.37078225758234	1.30184251877958	1.57417205369382	1.6052051497989	1.59704330221622	1.59640234666692
"Emilin2"	1.49834683424677	1.58264877359191	1.44615522868979	1.15800322563667	1.17592598582506	1.20132186853419	1.39273025855535
"Smchd1"	1.69083658304297	1.66185793859685	1.52712560819482	1.51823820025032	1.56787872800472	1.61833173668871	1.59064074636573
"Wdr43"	1.79654360557059	1.77698043645041	1.86306133971121	1.86204220984042	1.8831668748664	1.83439769195721	1.82106365061172
"Ypel5"	1.17192463811168	1.23121055981031	1.65285660938665	1.5177427168648	1.54379322082867	1.48701664361125	1.49677451706726
"Lclat1"	1.45379606527903	1.44766527190932	1.47678080763099	1.05412329155305	1.13875966516531	1.18128941688106	1.44212078298224
"Xdh"	1.89153099525755	1.89775073650676	1.93858743125886	1.60953948797733	1.64263383163252	1.78115835636015	1.97902709492977
"Memo1"	1.78963873299176	1.77811002855598	1.82112058474745	1.91033214151901	1.9099340110439	1.86314137494014	1.792795946509
"Dpy30"	1.6721750415795	1.68462500584312	1.4895851950484	1.59875759724103	1.54309495200838	1.6046886703665	1.60886418723659
"Spast"	1.39169439881391	1.37351847779304	1.44538278637036	1.53982556351264	1.54294382763276	1.49081894856148	1.46480896793901
"Slc30a6"	1.26815689024484	1.2293176632788	1.37361976462963	1.23434922658358	1.231156704586	1.25539352631326	1.18099544665026
"Yipf4"	1.44941052696142	1.53120938381838	1.71322547149669	1.68433607701131	1.72266650090044	1.66817751046688	1.64843576143368
"Birc6"	1.53728617489415	1.46380693956397	1.51341527532268	1.37495657534271	1.37225907561372	1.37351396346407	1.40828049286755
"Ttc27"	1.37999223015658	1.38652708919439	1.51099266612855	1.45628646368582	1.49070098361086	1.38252545727225	1.47537824904671
"Ltbp1"	1.6778538937273	1.68907936709093	1.48109733036774	1.29485845845225	1.36513648727359	1.47668439404393	1.50979367257996
"Fam98a"	1.57781666461564	1.60827223057983	1.54796385070207	1.47955975388778	1.48112123091108	1.47609134696281	1.50508289655262
"Crim1"	1.52915227479491	1.65847807388158	1.70295615908959	1.52468471559298	1.5163304497028	1.48610968790842	1.64961784528688
"Fez2"	1.40962792838209	1.463178532446	1.49712317542863	1.42074913612672	1.43034594086183	1.40206340616901	1.48435195170722
"Strn"	1.41976134694342	1.42995205313983	1.45259719774787	1.43666423105463	1.45369241216997	1.35228737120673	1.50457142587085
"Heatr5b"	1.28526422476829	1.31842780678846	1.21450966590249	1.1505374533226	1.19391114390381	1.21932718099232	1.36494114666035
"Gpatch11"	1.18233448644567	1.21484145515147	1.11528092794377	1.1477194469343	1.19968204677445	1.20805422786561	1.16595925872469
"Gm6548"	1.58428025426436	1.58672057143743	1.54390998826301	1.53468602154664	1.51891680941867	1.55290464185459	1.58596042073826
"Cebpz"	1.56564940841723	1.57680859114629	1.69322504114128	1.58844717793189	1.61521988180799	1.59439229525386	1.62470776914593
"Ndufaf7"	1.22155263747073	1.21213224433855	1.0771014912554	1.10280116999386	1.1646413065379	1.17814446439667	1.20318420027028
"Cdc42ep3"	1.71229540945542	1.71423047719002	1.87618425584631	1.72151411017369	1.69678202573143	1.57235487179866	1.67220281339135
"Atl2"	1.40494501256573	1.40136568384699	1.58592128266677	1.46172560814459	1.49002373354345	1.43989583591866	1.44218316345214
"Hnrnpll"	1.6925184083159	1.66315295623934	1.69285881695816	1.50072158642386	1.54793284989707	1.58318686803066	1.5474959700694
"Galm"	1.38164321555803	1.45226732228798	1.3913507696296	1.5286739183799	1.5486455069441	1.63617126206032	1.65055364344407
"Srsf7"	1.76923543396964	1.7739637304356	1.71949344884425	1.74057835613788	1.78032088897061	1.84363462880679	1.67412559556678
"Dhx57"	1.28117889386865	1.24039069200064	1.17829516819945	1.19860217815123	1.27869606359628	1.28586431810593	1.22112481077815
"Sos1"	1.30724798080215	1.29337130878413	1.49934130555059	1.49743607862897	1.54048569395844	1.43284987120773	1.47227917056602
"Map4k3"	1.42007929283288	1.40931490248178	1.70669883034938	1.56055215428992	1.6162518320297	1.53855023449267	1.5189813265984
"Eml4"	1.35297602528722	1.29157017958003	1.29481533981327	1.13174166639957	1.19856793052167	1.21634449343885	1.2322834572224
"Cox7a2l"	1.90177729292796	1.90820959203008	2.03316964784198	2.09876731514849	2.08354163438098	2.08176371988781	2.03958057539223
"Mta3"	1.3589872668461	1.35641515637263	1.12103441240066	1.37586494648518	1.34439688814404	1.38298654423689	1.33974502673084
"Zfp36l2"	2.01361615116057	2.02175658565993	1.9809873464033	2.16954005818119	2.14476524480546	2.13462223987432	2.04849489579545
"Thada"	1.20735532730246	1.15429916528117	1.15600984516027	1.07587084450429	1.09178759791195	1.11799055569874	1.11217065050986
"Plekhh2"	1.36403290397488	1.3393137800136	1.28552810601079	1.31130852260032	1.32422066882785	1.39005138031377	1.33807337383762
"Lrpprc"	1.76298511188388	1.71548868262657	1.88616953806582	1.811114359792	1.85430895928724	1.86747527754229	1.88816603136465
"Ppm1b"	1.37459048566965	1.36922639457671	1.41415557635263	1.17258041369467	1.22188716098992	1.28928594570806	1.32333384824774
"Prkce"	1.12736610510901	1.11344515553009	1.34655655147743	1.1143782658967	1.12578530293353	1.01525419756968	1.19067495041865
"Rhoq"	1.65733260229283	1.69511211150398	1.94624094643038	1.62085294375033	1.65114881906077	1.65721500813279	1.77246924258318
"Pigf"	1.39152246625165	1.33985613521658	1.3133254129991	1.32184551030786	1.30337676428678	1.34922078105373	1.3392711320021
"Cript"	1.74063150612844	1.78512172988917	1.67345225234108	1.77830564554209	1.76632657579097	1.73622758094877	1.76758085465849
"Socs5"	1.72110790509722	1.71267202322181	1.48650150698024	1.54332523707293	1.59036315493743	1.60738019715077	1.55888832982279
"Mcfd2"	1.69588404357967	1.72144230861119	1.80236992812227	1.71197953375639	1.71813508420656	1.69986936466114	1.72254929004757
"Ttc7"	1.43835165262508	1.44677524292648	1.11782462778264	1.26455185888485	1.23119625879086	1.23118185112931	1.31117319537103
"Calm2"	2.04784634064632	2.06342767729484	1.97218523386731	1.92342481464501	1.95483295314347	1.99339072382661	2.00133212511388
"Msh6"	1.64249844831989	1.6433139394885	1.22892929362733	1.41613042169023	1.44001582083535	1.52659264757054	1.48165820486923
"Fbxo11"	1.62960861867764	1.60689369131088	1.67373111070598	1.63415072791556	1.67879168121398	1.59736677934394	1.63109460350693
"Foxn2"	1.23023261022396	1.19193243489441	1.31966800524076	1.44343273767089	1.45136469749796	1.37176594094625	1.29348368947045
"Ppp1r21"	1.50821466834856	1.50359501992846	1.47820407934048	1.51807408940135	1.53526622140626	1.53777247436919	1.47344106687609
"Ston1"	1.40710678466282	1.42492920404538	1.51275315434861	1.17943982798007	1.21965766599318	1.14383086760253	1.41195254306771
"Cul2"	1.41940382258408	1.41957758338272	1.54047385638425	1.31467816693004	1.39993865222679	1.38704686681703	1.36195279639633
"Mtpap"	1.39877415341505	1.38203446651698	1.4315571877956	1.46746077217179	1.49636794644492	1.47317844351158	1.38742231532583
"9430020K01Rik"	1.53518638281242	1.53952284622545	1.50051026875617	1.56523241184153	1.56201299079199	1.50098141618709	1.6281392375106
"Zeb1"	1.31378004480322	1.32171655339411	1.32170117026667	1.30203256156869	1.30270778463679	1.30419698301461	1.3295815887335
"Arhgap12"	1.36871007130001	1.31027046142551	1.63052554678926	1.60086507780117	1.68129599760223	1.62552807084448	1.61950230128197
"Kif5b"	1.81336609166351	1.80320640669098	1.88340873508923	1.84498874080851	1.88827019038696	1.81315018323583	1.90333992752409
"Epc1"	1.20664075613141	1.17992897246974	1.36421069943891	1.66734265322006	1.63178119930443	1.45599984320836	1.26092959491111
"Rab18"	1.58566511484922	1.61183614972369	1.68046924132293	1.54073505565242	1.61249368475316	1.57123629376366	1.64504597132783
"Wac"	1.5674694843518	1.55269463687453	1.70175051610556	1.75364731971568	1.76924815509972	1.72744053360944	1.64438885728003
"Ccny"	1.57741350045936	1.58970372208415	1.63703389298345	1.47518857885027	1.52461483494916	1.48446268956497	1.55767883609221
"Colec12"	1.7461120286105	1.75627081730253	1.80688611763717	1.68819093069121	1.73569320308066	1.75789288371488	1.80473796945114
"Thoc1"	1.23544449974624	1.15563723195208	1.37118317923905	1.38275375282297	1.40113920317528	1.43588442613156	1.2850707134874
"Usp14"	1.62021675242986	1.62109984919547	1.52666534406876	1.50070990046507	1.53234161436118	1.50256139474586	1.53462424765648
"Rock1"	1.53241589542586	1.53730577646277	1.68228528168028	1.6049107830908	1.66692441778769	1.65556362738629	1.61262469510645
"Esco1"	1.14419181030628	1.15157341272626	1.24408306775696	1.1189417352403	1.21759555899137	1.20733614149709	1.19759394332162
"Snrpd1"	1.79570808833787	1.76811617040518	1.70141583989263	1.68487479335475	1.72072941087855	1.66969803691095	1.66266708591133
"Mib1"	1.36940512110656	1.33576384619539	1.32761990287753	1.49556662588356	1.51392425757377	1.42124719690135	1.42834274445402
"Rbbp8"	1.43244961501687	1.3973526039365	1.39798161759552	1.43048560395076	1.44330346514355	1.37934812606255	1.34053048304181
"Riok3"	1.61360411131382	1.61596950535864	1.58041363650933	1.51046662494175	1.54665571236992	1.55217434919191	1.62473473829457
"3110002H16Rik"	1.61437021977859	1.57576928432386	1.69015881386384	1.77709632966482	1.79550211428341	1.78841444139936	1.71268839848166
"Npc1"	1.29802897528516	1.30046803769448	1.60067048784953	1.438353872133	1.43797406631856	1.44199899481378	1.57870487214842
"Osbpl1a"	1.26623057558776	1.25689970571696	1.1597226297665	1.04275493801643	1.08684020756299	1.16911311050242	1.26975363352331
"Impact"	1.7308206963298	1.77646967003625	1.92220082677326	2.01532817213105	2.06202209282754	2.01714934952853	2.0246933933421
"Ss18"	1.62687592054626	1.6477341250386	1.5320859659722	1.64230341279564	1.64000498574176	1.60353454613751	1.50688740779009
"Taf4b"	1.10172536267603	1.12031692842232	1.41753006039944	1.29320281534846	1.34182978916312	1.20994781769074	1.20943731483167
"Cdh2"	1.70804892763633	1.71018561328115	1.66945314723632	1.58132318294199	1.59665378031817	1.62835468546176	1.6638384746832
"Trappc8"	1.56869312651941	1.54311694974393	1.7428684922491	1.69186300322622	1.7310896640298	1.67662218932704	1.68009572188447
"Rnf138"	1.00231297972029	1.01597500082687	1.19523768091846	1.16352318189408	1.22305943152885	1.19271849671145	1.12487140303539
"Mapre2"	1.49411926452105	1.55867792505132	1.08629143845766	1.14327020387617	1.14695209602117	1.12407723168869	1.28144185515521
"Zfp397"	1.32845430490604	1.2786288270868	1.34338279375118	1.37815824931473	1.43601695720974	1.46891207910418	1.24813872378977
"Zfp35"	1.20616750671628	1.20219392163805	1.3215202488553	1.41537184838312	1.47120014695814	1.41681571166055	1.3069816582358
"Zfp191"	1.21937267142406	1.22134786049161	1.19172864813336	1.34865210151116	1.41863760682189	1.33685501863008	1.27020138864801
"Ino80c"	1.57605760215009	1.60503359103818	1.54539444925507	1.59306140158042	1.60871717429913	1.61681740008733	1.60555181949555
"Galnt1"	1.71025898474246	1.71569555783767	1.61736263622545	1.60214606165372	1.65076237378847	1.66121704526233	1.70621379969103
"2700062C07Rik"	1.40300709196925	1.37861343360135	1.49822867107021	1.51520034630367	1.5122771936574	1.47156335649921	1.51736317407275
"Rprd1a"	1.31999696185736	1.28733075301292	1.30407638218179	1.26819725104871	1.30521403731349	1.2394437828125	1.27058379626846
"Slc39a6"	1.66845378424263	1.67895512594382	1.98714925693446	1.82972868734318	1.85994295200791	1.76989567719634	1.84379717346503
"Elp2"	1.69082164016794	1.68095093050652	1.63605827742866	1.73828798303661	1.74892724959914	1.73039261326931	1.66440071159447
"Celf4"	1.26057252328005	1.26570141280862	1.34733985380321	1.38286175820527	1.41697940842274	1.38557668548901	1.34133974231744
"Pik3c3"	1.31364695722864	1.34317500400267	1.48437750501711	1.35922547667263	1.3990092889612	1.35913632224596	1.37200566906256
"Slc25a46"	1.50847523723275	1.50141689344115	1.45013324297489	1.319773097593	1.38731747594948	1.43827577617356	1.48838265181129
"Sap130"	1.51332346118953	1.54309483958035	1.55448635066602	1.64316735944607	1.60061530399795	1.54264179759005	1.5505669173298
"Ammecr1l"	1.30779259580772	1.31921274856957	1.46363890129933	1.28535369850004	1.31803568533366	1.25432343191431	1.29173458908649
"Polr2d"	1.5425100590774	1.56946982864855	1.53594919917095	1.50370710911862	1.47781672336969	1.47658722089249	1.48328526565911
"Wdr33"	1.19929234436438	1.17409696178712	1.35770546727393	1.30006113853391	1.32862238814588	1.26564455003815	1.22576900252731
"Iws1"	1.21441102531726	1.17554422590714	1.29381635177359	1.34218345271396	1.38033369272637	1.36324975214845	1.1850635360517
"Map3k2"	1.18262791697102	1.12396546654007	1.39396055577402	1.25288949885046	1.30428419114625	1.24736081296069	1.33100832062707
"Ercc3"	1.63599982992208	1.63809207706147	1.50329639186682	1.52519965630849	1.52882124022104	1.5346565644475	1.54997795023336
"Bin1"	1.75343312467211	1.74439958163722	1.50375837493316	1.62516653057067	1.63761595865807	1.66435242636395	1.69789543242745
"Gypc"	1.56693221211728	1.59982133977907	1.35530712479095	1.33540069100304	1.31126981533919	1.32330351103768	1.35610484050185
"Tslp"	1.47347306609982	1.45475703081188	1.24204359444398	1.23620068397199	1.16877033263575	1.31152743569992	1.10648740701327
"Wdr36"	1.7990763636963	1.79164722866571	1.68879397183508	1.65294718616367	1.70792893687121	1.70212034166629	1.715485694861
"Stard4"	1.2722530742454	1.17208466315779	1.10300767316596	1.01662128237737	1.08041446505475	1.01084878381929	1.00100705287234
"Epb4.1l4aos"	1.46423534443865	1.40778798069562	1.75277692994022	1.95267565684441	1.89880024892641	1.89934738197369	1.64386283950258
"Apc"	1.45005453414393	1.42802477758795	1.58790312157212	1.49035396724794	1.53672477922147	1.49037841291782	1.5676161388813
"Srp19"	1.75074941227046	1.75799120517446	1.79717823584477	1.7772870002975	1.82771390673831	1.76087372262064	1.70492667236539
"Reep5"	1.89244106954454	1.93740550183265	1.82635392531962	1.71253068709812	1.73346317480349	1.77435971901985	1.86488722214117
"Fam13b"	1.6122496257955	1.57713098667532	1.70160112514767	1.74251136008187	1.75738065406639	1.74015358509179	1.68219518949712
"Brd8"	1.41518593036037	1.36912872436556	1.38512561621982	1.40124033274193	1.42683054826434	1.49144693067747	1.37220327991878
"Cdc23"	1.35023133856297	1.32260758736115	1.29474562292248	1.09318693667905	1.13944606100744	1.16417173724833	1.15182976941025
"Fam53c"	1.34496348574699	1.38279270796428	1.47096546903594	1.25084205612914	1.28044222480299	1.25793554856309	1.38975718868496
"Kdm3b"	1.32758675987141	1.30606475444012	1.3919616744282	1.45344352300591	1.46368080643774	1.40115724418773	1.39913909972985
"Egr1"	1.20308585000449	1.21468251172635	1.4907567156293	1.43797821988847	1.41333093348521	1.23104605429758	1.64963281883588
"Etf1"	1.90209235745359	1.89983137136428	1.95013958678566	1.95932075713459	1.9958069808608	1.95520327753369	1.9648873297146
"Hspa9"	2.1371720096641	2.1120904169658	2.19919672599187	2.21738405980774	2.22721010043243	2.20820107228187	2.20251391767176
"Ctnna1"	1.9962701799798	2.00413883308151	1.98895649330011	1.99292597341377	2.01629319584535	2.02517246331906	2.0077816363578
"Snhg4"	1.58365351290218	1.50262600488766	1.41587122277354	1.48065451478653	1.47657113299356	1.56674451039119	1.39908857916475
"Matr3"	1.81320584561656	1.8083193991906	1.8086285609265	1.85702536538661	1.89444319220722	1.82595544111689	1.80402741247128
"Paip2"	1.83932776108212	1.8641981327736	1.94918639523141	1.96018210704143	1.96873009514623	1.97066092500751	1.89608460113426
"Dnajc18"	1.0388285098145	1.07018522007758	1.0646026976357	1.17162920727939	1.16883221564436	1.18289801816377	1.12475818701711
"Ube2d2a"	1.7433482975554	1.75473856526006	1.7508324872411	1.78090070546987	1.76992112278607	1.74700265824404	1.76659738721805
"Cxxc5"	1.24040881041391	1.25565088788818	1.03654626634891	1.33140550618856	1.36133311944568	1.21501666566644	1.11284798161125
